i,mean05,mean10,mean15,mean20,mean25,mean30,mean35,mean40,mean45,mean50,mean55,mean60,mean65,mean70,mean75,mean80,mean85,mean90,mean95,std05,std10,std15,std20,std25,std30,std35,std40,std45,std50,std55,std60,std65,std70,std75,std80,std85,std90,std95
10.0,0.015328281923585287,0.01943325062691512,0.01715457629362715,0.01357127376505754,0.009574283126889179,0.005919318127801992,0.003791367723573183,0.0019746363412452466,0.0010151857945980844,0.0004739052770460519,0.00017313442622263873,7.644814481464088e-05,3.130558159595794e-05,2.4135351048681005e-06,2.255452556555473e-06,0.0,0.0,0.0,0.0,0.002704957283476164,0.001806939081050839,0.0013484439970689014,0.00138446917580019,0.0007684478950217383,0.0006830992306144281,0.0004437263907344548,0.0003434874307768925,0.00023994718410705847,0.0001693044047520711,8.794015560984554e-05,5.1803505510262825e-05,3.555387219061689e-05,9.030621453367945e-06,8.439130718753955e-06,0.0,0.0,0.0,0.0
11.0,0.014910999943575658,0.01691713927831702,0.014881524985386908,0.010647450719323177,0.006677136387639851,0.0042415465462029124,0.0022782055216530915,0.0013472741626843546,0.0005677086177394997,0.0001737841885723416,8.036128966445617e-05,2.5497391878354338e-05,5.238040189948314e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0035716202135344603,0.002300373163738342,0.001388748167617062,0.0010937803163651454,0.0009722125649521132,0.0006822730029862675,0.0004404964844534245,0.00021300607314790422,0.000152419890250957,9.15413745219827e-05,7.686425870602455e-05,3.0174549191057607e-05,1.3354491180936796e-05,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.015229749121610753,0.01575936552435072,0.012497908540967828,0.008840121981729782,0.0048254116947979726,0.00293901877492529,0.0014370455204351248,0.0007309497937191905,0.0003786723270483305,9.190735431588975e-05,5.246620672520408e-05,5.648162661801844e-06,0.0,2.440393391414696e-06,2.2608066558147946e-06,0.0,0.0,0.0,0.0,0.0027960815589010844,0.0020204944446002232,0.0015027465937030961,0.0010246615666225792,0.0006100165763606728,0.00025271862012501826,0.00041378686294604744,0.00019361178001827154,8.705703063314208e-05,6.531555365496433e-05,5.306357775436113e-05,1.4400222927265673e-05,0.0,9.131115959621108e-06,8.459163923797118e-06,0.0,0.0,0.0,0.0
13.0,0.014222819836924297,0.013894857573117167,0.01021790119838872,0.006585479635490799,0.0038387828904136957,0.0022527650678594085,0.0011312494089772034,0.00048326030349531135,0.00017436400929740157,6.490177462224362e-05,9.330733366131329e-06,1.1352782993788818e-05,5.252652622165306e-06,2.4149339515564252e-06,0.0,0.0,0.0,0.0,0.0,0.0022387291336854343,0.001928753347481267,0.0007229945619137413,0.0011160558199924861,0.0005993906053142614,0.00042091608487827804,0.00024329449427447044,0.00017552283814153478,0.00011641501729332664,4.776402495358303e-05,1.8661896646343213e-05,1.8826950598372112e-05,1.3391689157234146e-05,9.03585545841228e-06,0.0,0.0,0.0,0.0,0.0
14.0,0.01322220271453468,0.012638415415490828,0.009268084499994656,0.005339796753515678,0.002883637783456562,0.0013486378128982487,0.0006970841698748588,0.00020138834854058947,7.216476875096128e-05,3.061239641709303e-05,9.18214613328849e-06,2.837120889721111e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017653673376502377,0.0015394890665532362,0.0010805549820016823,0.0010730584520907494,0.0004134662539538553,0.0002849185252046101,0.00023854563396023975,0.00012901429802453915,7.051876910195113e-05,3.131084430235396e-05,1.8364607720071514e-05,1.0615534334195653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.012700202713839648,0.011219573138764854,0.0075671676555626845,0.004319737313431668,0.002549854887480042,0.0010462053219476128,0.0004198203697142071,0.0001324385833985922,4.922553712272951e-05,1.3640569684759305e-05,3.085277057879798e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002745496367345023,0.0012333604522568732,0.001096891656481873,0.000639692180895264,0.0005514122426067264,0.00027790396921817807,0.00018074854663264103,7.171704382408475e-05,5.0261076021195095e-05,2.2624664565553902e-05,1.154404969386012e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.011234604724327812,0.010328655424505466,0.005922557173928968,0.003541156994803592,0.0019234458788945114,0.0008129968600302514,0.0003024133531547265,6.846633280277105e-05,2.654697720451309e-05,1.0267386458637061e-05,0.0,2.8124648441894475e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029656902707030997,0.00133259846904022,0.0009693315399391546,0.0006682913347168852,0.0002545060278358767,0.00025577938609667165,0.00011739885256025529,5.493436661351303e-05,4.0832402894763285e-05,2.0534891119337497e-05,0.0,1.0523279859303469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.010831245883783317,0.008861406091487578,0.005573155261981653,0.002655209029951299,0.0013601613797413266,0.00045469152677715273,0.00019502963302119811,6.445083749451709e-05,1.8978546594415993e-05,3.410757529247246e-06,3.1071339796172007e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002623343939082405,0.0011761939731272954,0.000926614161134276,0.0005694570271844556,0.00023868316521503448,0.00021641197771996384,0.00010251496969936832,6.700537166891384e-05,2.6840984132276093e-05,1.2761886103802796e-05,1.1625830806531012e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.009884397402620548,0.008179668101605565,0.004888219111507291,0.002232043701481843,0.0009170181229939485,0.00036407540181075063,7.344963095030973e-05,2.1299577821191306e-05,1.1348834732441975e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015979026913666686,0.0014414684659902293,0.0010419163175204268,0.0005139878679492932,0.0001840911122468174,0.0001697987099761055,8.546725219803311e-05,3.0123656103489954e-05,2.269797527452771e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.010511075595276519,0.007461222809069971,0.0038321338539888403,0.0018329498208849257,0.0006189821640034584,0.00019352340943688945,5.3544935124587466e-05,1.717087295828086e-05,3.7703125589111336e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019464110391178534,0.0012885366873150467,0.0008564956017630561,0.0005392782304313086,0.00021110521603275774,0.0001450034824396695,4.961549064192944e-05,2.8475078076932876e-05,1.4107217836496404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
